Year,Plot,N,Height,Cover,CNratio,PCA,ST,Rorder,ANPP,Block
2015,N32-4,32,24.5205698,1.828888889,16.13,2.27869,16.6,0.258685159,558.768,4
2015,N32-5,32,24.93297057,2.1015,16.13,2.23651,16.4,0.275172067,621.1008,5
2016,N0-1,0,16.49250491,4.649090909,22.63,-1.03092,13.75,0.162820017,343.996,1
2016,N0-2,0,12.65265574,2.022222222,22.63,-0.59499,11.75,0.14977929,247.9388,2
2016,N0-3,0,13.23705154,3.971666667,22.63,-1.41611,12,0.135932612,247.1508,3
2016,N0-4,0,12.03124589,2.3136,22.63,-0.87341,14.75,0.135348776,252.4408,4
2016,N0-5,0,13.37065674,2.678333333,22.63,-0.75683,12.75,0.168673576,352.86,5
2016,N2-1,2,12.62725031,2.536,21.6,-0.82349,14,0.125329173,295.174,1
2016,N2-2,2,12.47718539,3.876363636,21.6,-1.5093,13.6,0.137056282,317.9328,2
2016,N2-3,2,12.24523109,4.0272,21.6,-1.63372,12.8,0.135208872,294.7316,3
2016,N2-4,2,13.93802707,3.06,21.6,-0.79076,13,0.134392193,372.3208,4
2016,N2-5,2,12.19168019,3.274,21.6,-1.27863,12.8,0.128262591,297.8228,5
2016,N4-1,4,12.15649894,2.876363636,23.24,-1.13618,14,0.127070864,558.8808,1
2016,N4-2,4,12.48766413,3.953846154,23.24,-1.58824,12.8,0.121662252,366.922,2
2016,N4-3,4,17.28219697,3.589565217,23.24,-0.35756,14.6,0.19047197,422.0464,3
2016,N4-4,4,12.46832083,3.804444444,23.24,-1.51972,12.4,0.163946646,341.742,4
2016,N4-5,4,16.46009074,4.584,23.24,-1.02251,10.6,0.150493421,371.3532,5
2016,N8-1,8,17.36015041,4.219130435,18.88,-0.53143,10.2,0.200305215,361.0332,1
2016,N8-2,8,13.70265161,2.957777778,18.88,-0.72053,14,0.172636698,371.5068,2
2016,N8-3,8,15.38364824,3.721818182,18.88,-0.72339,13.8,0.222860354,434.382,3
2016,N8-4,8,16.19311558,3.665454545,18.88,-0.51812,10.4,0.191017221,304.5904,4
2016,N8-5,8,16.53521303,2.166315789,18.88,0.28721,10.4,0.176065606,345.9384,5
2016,N16-1,16,11.19754079,2.57,16.49,-1.01858,11.2,0.135051286,377.9612,1
2016,N16-2,16,16.93208772,4.805714286,16.49,-0.84777,13.2,0.246880895,333.9168,2
2016,N16-3,16,12.99962653,3.517647059,16.49,-1.08427,13,0.19541945,205.79,3
2016,N16-4,16,16.10021139,3.182857143,16.49,-0.24008,13,0.206966802,218.1236,4
2016,N16-5,16,13.8325305,3.2,16.49,-0.74658,9.4,0.165743243,212.0924,5
2016,N32-1,32,16.53968254,3.925333333,16.21,-0.49774,14.4,0.279383886,408.5056,1
2016,N32-2,32,13.43269,4.103333333,16.21,-1.26697,10.2,0.169139027,226.2476,2
2016,N32-3,32,13.77906162,2.275294118,16.21,-0.30051,16.8,0.144811792,213.1836,3
2016,N32-4,32,17.96557527,4.453333333,16.21,-0.44168,15.2,0.202887085,270.7424,4
2016,N32-5,32,20.4498219,2.44,16.21,1.08467,15,0.246195954,176.2768,5
2017,N0-1,0,15.87227231,4.08952381,29.36,-1.07314,14.5,0.139513296,304.9744,1
2017,N0-2,0,12.09620238,2.596,29.36,-1.17521,14,0.100824599,334.4916,2
2017,N0-3,0,14.76424431,3.114545455,29.36,-0.84167,11.25,0.150519154,336.2156,3
2017,N0-4,0,13.00609405,3.304347826,29.36,-1.32034,10.75,0.131135393,339.8544,4
2017,N0-5,0,15.64504237,3.144,29.36,-0.66252,11.5,0.158699456,232.748,5
2017,N2-1,2,10.89818305,3.013333333,28.33,-1.61433,11,0.114485777,332.0896,1
2017,N2-2,2,19.07186617,3.268571429,28.33,0.05692,9.6,0.18837598,368.6132,2
2017,N2-3,2,14.00992821,4.092173913,28.33,-1.45622,11,0.133692198,431.3048,3
2017,N2-4,2,10.3884078,2.610909091,28.33,-1.53031,11.2,0.102887726,307.6428,4
2017,N2-5,2,16.08633493,4.025882353,28.33,-0.96779,14.6,0.143489127,409.57,5
2017,N4-1,4,13.76062445,3.728888889,24.89,-1.2428,9.8,0.162873582,319.946,1
2017,N4-2,4,13.37967836,3.940952381,24.89,-1.42977,10.4,0.12113341,279.07,2
2017,N4-3,4,18.87933292,2.882222222,24.89,0.29404,13.8,0.224228641,463.5832,3
2017,N4-4,4,14.51939542,2.601333333,24.89,-0.52692,11.4,0.177874696,478.6892,4
2017,N4-5,4,18.07015455,5.146666667,24.89,-0.98664,14,0.181221365,451.066,5
2017,N8-1,8,14.24386606,4.14,21.85,-1.25624,11.2,0.161794465,198.2332,1
2017,N8-2,8,14.83512355,4.584444444,21.85,-1.34283,11,0.149546886,363.3748,2
2017,N8-3,8,16.86854189,3.228571429,21.85,-0.23574,12.8,0.21353355,337.962,3
2017,N8-4,8,16.10354745,4.691111111,21.85,-1.11614,13.6,0.166271355,425.5564,4
2017,N8-5,8,19.43491215,2.870588235,21.85,0.50239,15.2,0.209590023,383.4572,5
2017,N16-1,16,21.20809376,4.04,14.22,0.52473,10,0.202988726,335.726,1
2017,N16-2,16,18.63304196,3.901538462,14.22,0.02649,12.4,0.252027618,417.7552,2
2017,N16-3,16,15.57268519,2.78,14.22,-0.09953,16.2,0.190085658,250.1696,3
2017,N16-4,16,18.19138189,3.1075,14.22,0.31622,14.6,0.229133514,347.2284,4
2017,N16-5,16,21.7341891,5.72,14.22,-0.17797,11,0.235993993,337.5188,5
2017,N32-1,32,17.42951299,3.27,15.39,0.03867,14.4,0.253833238,284.2592,1
2017,N32-2,32,15.72140882,4.455384615,15.39,-0.91392,14,0.181480885,367.3876,2
2017,N32-3,32,12.50390443,2.655384615,15.39,-0.74401,14,0.152895203,237.9716,3
2017,N32-4,32,18.31313018,4.466666667,15.39,-0.35007,16.2,0.263098348,361.1572,4
2017,N32-5,32,,,15.39,,14.8,,267.5616,5
